1,Fundamentals of Wavelets
2,Data Smart
3,God Created the Integers
4,Superfreakonomics
5,Orientalism
6,"Nature of Statistical Learning Theory, The"
7,Integration of the Indian States
8,"Drunkard's Walk, The"
9,Image Processing & Mathematical Morphology
10,How to Think Like Sherlock Holmes
11,Data Scientists at Work
12,Slaughterhouse Five
13,Birth of a Theorem
14,Structure & Interpretation of Computer Programs
15,"Age of Wrath, The"
16,"Trial, The"
17,Statistical Decision Theory'
18,Data Mining Handbook
19,"New Machiavelli, The"
20,Physics & Philosophy
21,Making Software
22,"Analysis, Vol I"
23,Machine Learning for Hackers
24,"Signal and the Noise, The"
25,Python for Data Analysis
26,Introduction to Algorithms
27,"Beautiful and the Damned, The"
28,"Outsider, The"
29,"Complete Sherlock Holmes, The - Vol I"
30,"Complete Sherlock Holmes, The - Vol II"
31,"Wealth of Nations, The"
32,"Pillars of the Earth, The"
33,Mein Kampf
34,"Tao of Physics, The"
35,Surely You're Joking Mr Feynman
36,"Farewell to Arms, A"
37,"Veteran, The"
38,False Impressions
39,"Last Lecture, The"
40,Return of the Primitive
41,Jurassic Park
42,"Russian Journal, A"
43,Tales of Mystery and Imagination
44,Freakonomics
45,"Hidden Connections, The"
46,"Story of Philosophy, The"
47,Asami Asami
48,Journal of a Novel
49,Once There Was a War
50,"Moon is Down, The"
51,"Brethren, The"
52,In a Free State
53,Catch 22
54,"Complete Mastermind, The"
55,Dylan on Dylan
56,Soft Computing & Intelligent Systems
57,Textbook of Economic Theory
58,Econometric Analysis
59,Learning OpenCV
60,Data Structures Using C & C++
61,"Computer Vision, A Modern Approach"
62,Principles of Communication Systems
63,Let Us C
64,"Amulet of Samarkand, The"
65,Crime and Punishment
66,Angels & Demons
67,"Argumentative Indian, The"
68,Sea of Poppies
69,"Idea of Justice, The"
70,"Raisin in the Sun, A"
71,All the President's Men
72,"Prisoner of Birth, A"
73,Scoop!
74,Ahe Manohar Tari
75,"Last Mughal, The"
76,"Social Choice & Welfare, Vol 39 No. 1"
77,Radiowaril Bhashane & Shrutika
78,Gun Gayin Awadi
79,Aghal Paghal
80,Maqta-e-Ghalib
81,Manasa
82,India from Midnight to Milennium
83,"Great Indian Novel, The"
84,O Jerusalem!
85,"City of Joy, The"
86,Freedom at Midnight
87,"Winter of Our Discontent, The"
88,On Education
89,Free Will
90,Bookless in Baghdad
91,"Case of the Lame Canary, The"
92,"Theory of Everything, The"
93,New Markets & Other Essays
94,Electric Universe
95,"Hunchback of Notre Dame, The"
96,Burning Bright
97,"Age of Discontuinity, The"
98,Doctor in the Nude
99,Down and Out in Paris & London
100,Identity & Violence
101,Beyond the Three Seas
102,Talking Straight
103,"Maugham's Collected Short Stories, Vol 3"
104,"Phantom of Manhattan, The"
105,Ashenden of The British Agent
106,Zen & The Art of Motorcycle Maintenance
107,"Great War for Civilization, The"
108,We the Living
109,"Artist and the Mathematician, The"
110,History of Western Philosophy
111,Rationality & Freedom
112,Clash of Civilizations and Remaking of the World Order
113,Uncommon Wisdom
114,One
115,To Sir With Love
116,Half A Life
117,"Discovery of India, The"
118,Apulki
119,Unpopular Essays
120,"Deceiver, The"
121,Veil: Secret Wars of the CIA
122,Char Shabda
123,Rosy is My Relative
124,"Moon and Sixpence, The"
125,"Short History of the World, A"
126,"Trembling of a Leaf, The"
127,Doctor on the Brain
128,Simpsons & Their Mathematical Secrets
129,Pattern Classification
130,From Beirut to Jerusalem
131,"Code Book, The"
132,"Age of the Warrior, The"
133,"Numbers Behind Numb3rs, The"
134,"Life in Letters, A"
135,"Information, The"
136,Elements of Information Theory
137,Power Electronics - Rashid
138,Power Electronics - Mohan
139,Neural Networks
140,"Grapes of Wrath, The"
141,Vyakti ani Valli
142,Statistical Learning Theory
143,Empire of the Mughal - The Tainted Throne
144,Empire of the Mughal - Brothers at War
145,Empire of the Mughal - Ruler of the World
146,Empire of the Mughal - The Serpent's Tooth
147,Empire of the Mughal - Raiders from the North
148,Mossad
149,Jim Corbett Omnibus
150,20000 Leagues Under the Sea
151,Batatyachi Chal
152,Hafasavnuk
153,Urlasurla
154,Pointers in C
155,"Cathedral and the Bazaar, The"
156,Design with OpAmps
157,Think Complexity
158,"Devil's Advocate, The"
159,Ayn Rand Answers
160,Philosophy: Who Needs It
161,Data Analysis with Open Source Tools
162,Broca's Brain
163,Men of Mathematics
164,Oxford book of Modern Science Writing
165,"Justice, Judiciary and Democracy"
166,"Arthashastra, The"
167,We the People
168,We the Nation
169,"Courtroom Genius, The"
170,Dongri to Dubai
171,"History of England, Foundation"
172,City of Djinns
173,India's Legal System
174,More Tears to Cry
175,"Ropemaker, The"
176,Angels & Demons
177,"Prince, The"
178,Eyeless in Gaza
179,Tales of Beedle the Bard
180,Girl with the Dragon Tattoo
181,Girl who kicked the Hornet's Nest
182,Girl who played with Fire
183,Structure and Randomness
184,Image Processing with MATLAB
185,Animal Farm
186,"Idiot, The"
187,"Christmas Carol, A"
