,,,,,
1,8 Pulaski St.,,Springfield,PA,19064
2,712 South Johnson Court,,Mason City,IA,50401
3,21 Howard Ave.,,Waldorf,MD,20601
4,537 Mill Ave.,,Mechanicsville,VA,23111
5,7436 Bald Hill St.,,Upper Darby,PA,19082
6,985 West Golf Street,,Hopkins,MN,55343
7,4 Euclid Lane,,Chillicothe,OH,45601
8,929 Chestnut Road,,New Brunswick,NJ,8901
9,77 Briarwood Court,,De Pere,WI,54115
10,536 Tanglewood St.,,North Canton,OH,44720
11,16 Helen Drive,,Metairie,LA,70001
12,61 Pheasant Street,,Hendersonville,NC,28792
13,8202 Wayne Dr.,,Plainview,NY,11803
14,63 Ketch Harbour St.,,Bridgeport,CT,6606
15,9911 Manor Street,,Ann Arbor,MI,48103
16,9578 Hawthorne Court,,Holbrook,NY,11741
17,7985 Shub Farm Ave.,,Lawndale,CA,90260
18,515 East King Drive,,Danvers,MA,1923
19,9911 Manor Street,,Lawndale,CA,90260
20,515 East King Drive,,Casselberry,FL,32707
21,13th Street 47 W 13th St,,New York,NY,10011
22,20 Cooper Square 20 Cooper Square,,New York,NY,10003
23,2nd Street Dorm 1 E 2nd St,,New York,NY,10003
24,3rd North 75 3rd Ave,,New York,NY,10003
25,6 Metrotech Center Metrotech Center,,Brooklyn,NY,11201
26,721 Broadway 721 Broadway,,New York,NY,10003
27,7th Street 40 E 7th St,,New York,NY,10003
28,838 Broadway 838 Broadway,,New York,NY,10003
29,9th St. PATH Station 69 W 9th St,,New York,NY,10011
30,Abu Dhabi House 19 Washington Square N,,New York,NY,10011
31,Affinia Manhattan Hotel 371 7th Ave,,New York,NY,10001
32,Alumni Hall 33 3rd Ave,,New York,NY,10003
33,Bobst Library 70 Washington Square South,,New York,NY,10012
34,Brittany Hall 55 East 10th Street,,New York,NY,10003
35,Broome 400 Broome St,,New York,NY,10013
36,Brown Bldg 29 Washington Pl,,New York,NY,10003
37,Cantor Film 36 East 8th Street,,New York,NY,10003
38,Carlyle Hall 25 Union Square W,,New York,NY,10003
39,Clark Residence Hall (Poly) 55 Clark St,,Brooklyn,NY,11201
40,Coles Center 181 Mercer Street,,New York,NY,10012
41,College of Dentistry 345 E 24th St,,New York,NY,10010
42,Computer Center 242 Greene St,,New York,NY,10003
43,Coral Tower East 14th Street,,New York,NY,10003
44,D'Agostino 110 W 3rd St,,New York,NY,10012
45,East Bldg 239 Greene St,,New York,NY,10003
46,Ehrenkranz 13 Washington Square S,,New York,NY,10012
47,Faculty of Arts 5 Washington Square S,,New York,NY,10012
48,Founders Hall 120 E 12th St,,New York,NY,10003
49,Furman Hall 249 Sullivan St,,New York,NY,10012
50,Gallatin 715 Broadway,,New York,NY,10003
51,Glucksman 1 Washington Mews,,New York,NY,10003
52,Goddard Hall 80 Washington Square E,,New York,NY,10003
53,Gramercy Green 310 3rd Ave,,New York,NY,10010
54,Greenwich Hotel 636 Greenwich St,,New York,NY,10014
55,Health Services 726 Broadway,,New York,NY,10003
56,HKMC 44 W 4th St,,New York,NY,10012
57,Kaufman 44 W 4th St,,New York,NY,10012
58,Kevorkian 50 Washington Square S,,New York,NY,10012
59,Kimball Com 246 Greene St,,New York,NY,10003
60,Kimmel 60 Washington Square S,,New York,NY,10012
61,La Maison 16 Washington Mews,,New York,NY,10003
62,Lafayette 80 Lafayette St,,New York,NY,10013
63,Langone Medical Center 550 1st Ave,,New York,NY,10016
64,Lipton Hall 33 Washington Square W,,New York,NY,10011
65,Mercer Res 240 Mercer St,,New York,NY,10012
66,Meyer Hall 4 Washington Pl,,New York,NY,10003
67,Othmer Hall 101 Johnson St,,Brooklyn,NY,11201
68,Palladium 140 E 14th St,,New York,NY,10003
69,Pless Annex 26 Washington Pl,,New York,NY,10003
70,Pless Bldg 32 Washington Pl,,New York,NY,10003
71,Prince Juan Carlos 53 Washington Square S,,New York,NY,10012
72,Public Safety Command Center 7 Washington Pl,,New York,NY,10003
73,Rubin Rubin Residence Hall,,New York,NY,10003
74,Rufus 25 Waverly Pl,,New York,NY,10003
75,School of Nursing 433 1st Ave,,New York,NY,10010
76,Shimkin 50 W 4th St,,New York,NY,10012
77,Silver Towers 100 Bleecker St,,New York,NY,10013
78,Steinhardt 35 W 4th St,,New York,NY,10012
79,Stern 40 W 4th St,,New York,NY,10012
80,Stuyvesant 14th St & 1st Ave 238 1st Ave,,New York,NY,10009
81,Stuyvesant 14th St & Ave C 690 E 14th St,,New York,NY,10009
82,Stuyvesant 20th St. & 1st Ave 339 1st Ave,,New York,NY,10003
83,Stuyvesant 20th St. & Ave C 610 E 20th St,,New York,NY,10009
84,Tikvah 22 Washington Square N,,New York,NY,10011
85,Tisch Hall 40 W 4th St,,New York,NY,10012
86,Torch Club 18 Waverly Pl,,New York,NY,10003
87,Union Square MTA Station (Broadway and 14th St) 853 Broadway,,New York,NY,10003
88,University Court 334 E 25th St,,New York,NY,10010
89,University Hall 120 E 14th St,,New York,NY,10003
90,Vanderbilt 40 Washington Square S,,New York,NY,10012
91,Wagner Grad 4 Washington Square N,,New York,NY,10003
92,Waverly Building 24 Waverly Pl,,New York,NY,10003
93,Weaver 251 Mercer St,,New York,NY,10012
94,Weinstein 5 University Pl,,New York,NY,10003
95,West 4th St. MTA Station (W 3rd St. and 6th Ave) 136 W 3rd St,,New York,NY,10012
96,Wilf Hall 133 Macdougal St,,New York,NY,10012
